Longitude	Latitude	Name	Cruise	Year	Month	Day	Depth_m	Temperature_degreesC	Salinity_psu	Oxygen_mll	Hydrogen_Sulphide_umoll	Ammonium_Nitrogen_umoll
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	42.101883	6.0678	7.1225	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	42.59715	6.0674	7.1223	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	43.09241	6.0709	7.1227	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	43.587673	6.0674	7.1224	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	44.082935	6.0586	7.1215	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	44.578194	6.0599	7.1218	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	45.073452	6.0613	7.1219	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	45.56871	6.0611	7.1218	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	46.06397	6.0524	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	46.559223	6.0468	7.1211	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	47.054474	6.058	7.1222	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	47.54973	6.0524	7.1208	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	48.04498	6.0593	7.1218	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	48.54023	6.0539	7.1213	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	49.03548	6.049	7.121	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	49.530727	6.0466	7.1211	8.03		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	50.025974	6.0495	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	50.521217	6.0557	7.1223	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	51.016464	6.067	7.1214	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	51.511707	6.0677	7.1233	8.05		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	52.006947	6.0798	7.1231	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	52.50219	6.0803	7.123	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	52.99743	6.0762	7.1226	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	53.492664	6.0774	7.1228	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	53.987904	6.0744	7.1224	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	54.48314	6.0736	7.1223	8.02		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	54.978374	6.0744	7.1224	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	55.473606	6.0747	7.1224	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	55.968838	6.0746	7.1225	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	56.46407	6.0764	7.1228	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	56.9593	6.0798	7.1228	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	57.45453	6.0817	7.1231	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	57.949757	6.0803	7.123	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	58.44498	6.0819	7.1229	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	58.940205	6.0757	7.1224	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	59.43543	6.0699	7.1219	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	59.930653	6.0715	7.1219	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	60.425873	6.0715	7.1218	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	60.921093	6.065	7.1213	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	61.416313	6.0639	7.1212	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	61.91153	6.0666	7.1218	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	62.406746	6.0677	7.1221	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	62.901962	6.07	7.1226	8.04		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	63.39718	6.0717	7.1228	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	63.89239	6.0711	7.1233	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	64.3876	6.0754	7.1259	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	64.88281	6.0798	7.125	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	65.37802	6.0785	7.1254	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	65.87323	6.0757	7.1238	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	66.36844	6.0773	7.1243	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	66.86364	6.0877	7.127	8.03		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	67.35885	6.1212	7.1313	8.02		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	67.85405	6.1294	7.1318	8.01		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	68.34925	6.1324	7.1328	8.01		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	68.84445	6.1326	7.1335	8		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	69.33965	6.1249	7.1318	7.97		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	69.834854	6.1402	7.1424	7.94		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	70.33005	6.1487	7.1489	7.96		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	70.82525	6.1497	7.1499	7.88		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	71.32044	6.1511	7.1546	7.66		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	71.815636	6.2005	7.4758	7.21		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	72.31083	6.1901	7.3715	6.94		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	72.806015	6.207	7.8452	6.06		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	73.30121	5.9003	8.3022	5.08		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	73.796394	5.7602	8.4569	4.33		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	74.29159	5.7012	8.5294	3.81		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	74.78677	5.6522	8.5742	3.46		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	75.28196	5.4741	8.6348	3.22		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	75.77714	5.3042	8.7187	2.98		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	76.27232	5.2938	8.8744	2.68		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	76.76751	5.283	9.0304	2.39		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	77.26269	5.2577	9.095	2.15		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	77.757866	5.3156	9.167	1.98		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	78.253044	5.3257	9.2182	1.86		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	78.74822	5.3192	9.258	1.75		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	79.24339	5.3161	9.2869	1.67		0.2
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	79.73857	5.3349	9.3437	1.63		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	80.23374	5.3571	9.3907	1.58		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	80.72892	5.3702	9.4313	1.54		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	81.22409	5.3914	9.4684	1.5		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	81.71926	5.3933	9.4894	1.46		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	82.214424	5.3859	9.516	1.4		
19.8788	57.9982	Opensea Eastern Gotland Basin	34AR	2016	1	8	82.709595	5.3778	9.558	1.3		
